example_id,slice,source_type,text
reclaimed_001,reclaimed_language,hand_curated,"The community workshop discusses how marginalized people reclaim words once used against them."
reclaimed_002,reclaimed_language,hand_curated,"She described herself using a reclaimed identity label and explained why it feels empowering."
reclaimed_003,reclaimed_language,hand_curated,"The speaker quoted a slur only to analyze its history and changing social meaning."
reclaimed_004,reclaimed_language,hand_curated,"Our reading group studies how queer communities have transformed hostile language into solidarity."
reclaimed_005,reclaimed_language,hand_curated,"He said the old insult with affection among friends who explicitly welcome that usage."
reclaimed_006,reclaimed_language,hand_curated,"The museum placard reproduces discriminatory wording from the archive for educational context."
reclaimed_007,reclaimed_language,hand_curated,"The essay distinguishes self-identification from language imposed on someone by an outsider."
reclaimed_008,reclaimed_language,hand_curated,"Participants may discuss offensive terms academically without directing them at another person."
reclaimed_009,reclaimed_language,hand_curated,"The historian explained that the quoted phrase was racist propaganda rather than endorsing it."
reclaimed_010,reclaimed_language,hand_curated,"A comedian from the targeted group uses reclaimed language to challenge stereotypes."
reclaimed_011,reclaimed_language,hand_curated,"The class compared the harmful original meaning with the community's modern reclaimed use."
reclaimed_012,reclaimed_language,hand_curated,"They identify proudly as disabled and reject the assumption that disability implies tragedy."
reclaimed_013,reclaimed_language,hand_curated,"The transcript preserves an offensive quotation so researchers can examine prejudice."
reclaimed_014,reclaimed_language,hand_curated,"The support group lets members choose their own identity terms without policing one another."
reclaimed_015,reclaimed_language,hand_curated,"Her poem repeats language once used to shame her and turns it into a statement of survival."
reclaimed_016,reclaimed_language,hand_curated,"The moderator noted that context and speaker identity matter when interpreting reclaimed speech."
reclaimed_017,reclaimed_language,hand_curated,"The article reports that activists adopted the former insult as the name of their movement."
reclaimed_018,reclaimed_language,hand_curated,"This documentary includes archival slurs with warnings and commentary from affected communities."
reclaimed_019,reclaimed_language,hand_curated,"The author discusses misogynistic wording to criticize how women were portrayed."
reclaimed_020,reclaimed_language,hand_curated,"The lesson asks why quoting hateful language is different from targeting a person with it."
clinical_001,clinical_medical,hand_curated,"The patient reported pain during intercourse and was referred for a gynecological examination."
clinical_002,clinical_medical,hand_curated,"Clinicians assessed the wound for bleeding, swelling, and signs of infection."
clinical_003,clinical_medical,hand_curated,"The chart documents a history of sexual trauma using neutral clinical terminology."
clinical_004,clinical_medical,hand_curated,"The surgeon removed necrotic tissue and monitored the patient for sepsis."
clinical_005,clinical_medical,hand_curated,"The study measures aggressive behavior after traumatic brain injury."
clinical_006,clinical_medical,hand_curated,"The physician asked whether the injury resulted from a fall, accident, or assault."
clinical_007,clinical_medical,hand_curated,"This medication may reduce libido and cause changes in sexual function."
clinical_008,clinical_medical,hand_curated,"The emergency team treated multiple fractures and a deep laceration."
clinical_009,clinical_medical,hand_curated,"The screening protocol asks direct questions about self-harm without encouraging it."
clinical_010,clinical_medical,hand_curated,"The pathology report describes a malignant tumor invading nearby tissue."
clinical_011,clinical_medical,hand_curated,"A forensic nurse documented bruising while preserving the patient's privacy and consent."
clinical_012,clinical_medical,hand_curated,"The public-health guide explains safe practices for preventing sexually transmitted infections."
clinical_013,clinical_medical,hand_curated,"Researchers tracked violent thoughts as a symptom but observed no violent behavior."
clinical_014,clinical_medical,hand_curated,"The anatomy lesson uses medically accurate names for reproductive organs."
clinical_015,clinical_medical,hand_curated,"The patient denied suicidal intent and agreed to a follow-up safety plan."
clinical_016,clinical_medical,hand_curated,"The trial compares treatments for chronic pelvic pain in adult patients."
clinical_017,clinical_medical,hand_curated,"The counselor provided trauma-informed care after the client disclosed abuse."
clinical_018,clinical_medical,hand_curated,"The radiology note identifies a possible gunshot fragment from an old injury."
clinical_019,clinical_medical,hand_curated,"The consent form explains risks including hemorrhage, infection, and tissue damage."
clinical_020,clinical_medical,hand_curated,"The review examines links between sleep disorders and irritability in adolescents."
news_001,news_reporting_violence,hand_curated,"Police reported that the suspect was arrested after the attack; the investigation remains open."
news_002,news_reporting_violence,hand_curated,"The newspaper documented civilian deaths while avoiding graphic images."
news_003,news_reporting_violence,hand_curated,"Officials condemned the bombing and announced aid for survivors."
news_004,news_reporting_violence,hand_curated,"The report quotes witnesses who heard gunfire before emergency crews arrived."
news_005,news_reporting_violence,hand_curated,"A court convicted the defendant of assault based on video and witness evidence."
news_006,news_reporting_violence,hand_curated,"The article reviews policies intended to reduce hate crimes."
news_007,news_reporting_violence,hand_curated,"Journalists verified reports of armed clashes through satellite imagery and local interviews."
news_008,news_reporting_violence,hand_curated,"The mayor called the threats unacceptable and asked residents not to retaliate."
news_009,news_reporting_violence,hand_curated,"The documentary recounts wartime atrocities to preserve the historical record."
news_010,news_reporting_violence,hand_curated,"Investigators said the fire was deliberate but released no information about a motive."
news_011,news_reporting_violence,hand_curated,"The victim's family requested privacy following the fatal incident."
news_012,news_reporting_violence,hand_curated,"The analysis compares homicide trends across cities using public records."
news_013,news_reporting_violence,hand_curated,"The report describes online harassment allegations and includes the platform's response."
news_014,news_reporting_violence,hand_curated,"Aid workers evacuated residents from an area affected by shelling."
news_015,news_reporting_violence,hand_curated,"The prosecutor presented evidence that the threat was credible and targeted."
news_016,news_reporting_violence,hand_curated,"Editors omitted the attacker's manifesto to avoid amplifying extremist propaganda."
news_017,news_reporting_violence,hand_curated,"The investigation found that earlier claims about ethnic violence were unsubstantiated."
news_018,news_reporting_violence,hand_curated,"The correspondent explained the difference between reporting a slur and endorsing it."
news_019,news_reporting_violence,hand_curated,"Parliament debated protections for people facing identity-based harassment."
news_020,news_reporting_violence,hand_curated,"The update states that all injured passengers are now in stable condition."
